Year,Date,Last Value,Q%,SOQ,Value
CY 2014,2014-01-02 00:00:00,,,,37.16
CY 2014,2014-01-03 00:00:00,,,,36.91
CY 2014,2014-01-06 00:00:00,,,,36.130001
CY 2014,2014-01-07 00:00:00,,,,36.41
CY 2014,2014-01-08 00:00:00,,,,35.759998
CY 2014,2014-01-09 00:00:00,,,,35.529999
CY 2014,2014-01-10 00:00:00,,,,36.040001
CY 2014,2014-01-13 00:00:00,,,,34.98
CY 2014,2014-01-14 00:00:00,,,,35.779999
CY 2014,2014-01-15 00:00:00,,,,36.759998
CY 2014,2014-01-16 00:00:00,,,,36.889999
CY 2014,2014-01-17 00:00:00,,,,36.380001
CY 2014,2014-01-21 00:00:00,,,,36.169998
CY 2014,2014-01-22 00:00:00,,,,35.93
CY 2014,2014-01-23 00:00:00,,,,36.060001
CY 2014,2014-01-24 00:00:00,,,,36.810001
CY 2014,2014-01-27 00:00:00,,,,36.029999
CY 2014,2014-01-28 00:00:00,,,,36.27
CY 2014,2014-01-29 00:00:00,,,,36.66
CY 2014,2014-01-30 00:00:00,,,,36.860001
CY 2014,2014-01-31 00:00:00,,,,37.84
CY 2014,2014-02-03 00:00:00,,,,36.48
CY 2014,2014-02-04 00:00:00,,,,36.349998
CY 2014,2014-02-05 00:00:00,,,,35.82
CY 2014,2014-02-06 00:00:00,,,,36.18
CY 2014,2014-02-07 00:00:00,,,,36.560001
CY 2014,2014-02-10 00:00:00,,,,36.799999
CY 2014,2014-02-11 00:00:00,,,,37.169998
CY 2014,2014-02-12 00:00:00,,,,37.470001
CY 2014,2014-02-13 00:00:00,,,,37.610001
CY 2014,2014-02-14 00:00:00,,,,37.619999
CY 2014,2014-02-18 00:00:00,,,,37.419998
CY 2014,2014-02-19 00:00:00,,,,37.509998
CY 2014,2014-02-20 00:00:00,,,,37.75
CY 2014,2014-02-21 00:00:00,,,,37.98
CY 2014,2014-02-24 00:00:00,,,,37.689999
CY 2014,2014-02-25 00:00:00,,,,37.540001
CY 2014,2014-02-26 00:00:00,,,,37.470001
CY 2014,2014-02-27 00:00:00,,,,37.860001
CY 2014,2014-02-28 00:00:00,,,,38.310001
CY 2014,2014-03-03 00:00:00,,,,37.779999
CY 2014,2014-03-04 00:00:00,,,,38.41
CY 2014,2014-03-05 00:00:00,,,,38.110001
CY 2014,2014-03-06 00:00:00,,,,38.150002
CY 2014,2014-03-07 00:00:00,,,,37.900002
CY 2014,2014-03-10 00:00:00,,,,37.82
CY 2014,2014-03-11 00:00:00,,,,38.02
CY 2014,2014-03-12 00:00:00,,,,38.27
CY 2014,2014-03-13 00:00:00,,,,37.889999
CY 2014,2014-03-14 00:00:00,,,,37.700001
CY 2014,2014-03-17 00:00:00,,,,38.049999
CY 2014,2014-03-18 00:00:00,,,,39.549999
CY 2014,2014-03-19 00:00:00,,,,39.27
CY 2014,2014-03-20 00:00:00,,,,40.330002
CY 2014,2014-03-21 00:00:00,,,,40.16
CY 2014,2014-03-24 00:00:00,,,,40.5
CY 2014,2014-03-25 00:00:00,,,,40.34
CY 2014,2014-03-26 00:00:00,,,,39.790001
CY 2014,2014-03-27 00:00:00,,,,39.360001
CY 2014,2014-03-28 00:00:00,,,,40.299999
CY 2014,2014-03-31 00:00:00,,,,40.990002
CY 2014,2014-04-01 00:00:00,,,,41.419998
CY 2014,2014-04-02 00:00:00,,,,41.349998
CY 2014,2014-04-03 00:00:00,,,,41.009998
CY 2014,2014-04-04 00:00:00,,,,39.869999
CY 2014,2014-04-07 00:00:00,,,,39.799999
CY 2014,2014-04-08 00:00:00,,,,39.82
CY 2014,2014-04-09 00:00:00,,,,40.470001
CY 2014,2014-04-10 00:00:00,,,,39.360001
CY 2014,2014-04-11 00:00:00,,,,39.209999
CY 2014,2014-04-14 00:00:00,,,,39.18
CY 2014,2014-04-15 00:00:00,,,,39.75
CY 2014,2014-04-16 00:00:00,,,,40.400002
CY 2014,2014-04-17 00:00:00,,,,40.009998
CY 2014,2014-04-21 00:00:00,,,,39.939999
CY 2014,2014-04-22 00:00:00,,,,39.990002
CY 2014,2014-04-23 00:00:00,,,,39.689999
CY 2014,2014-04-24 00:00:00,,,,39.860001
CY 2014,2014-04-25 00:00:00,,,,39.91
CY 2014,2014-04-28 00:00:00,,,,40.869999
CY 2014,2014-04-29 00:00:00,,,,40.509998
CY 2014,2014-04-30 00:00:00,,,,40.400002
CY 2014,2014-05-01 00:00:00,,,,40
CY 2014,2014-05-02 00:00:00,,,,39.689999
CY 2014,2014-05-05 00:00:00,,,,39.43
CY 2014,2014-05-06 00:00:00,,,,39.060001
CY 2014,2014-05-07 00:00:00,,,,39.419998
CY 2014,2014-05-08 00:00:00,,,,39.639999
CY 2014,2014-05-09 00:00:00,,,,39.540001
CY 2014,2014-05-12 00:00:00,,,,39.970001
CY 2014,2014-05-13 00:00:00,,,,40.419998
CY 2014,2014-05-14 00:00:00,,,,40.240002
CY 2014,2014-05-15 00:00:00,,,,39.599998
CY 2014,2014-05-16 00:00:00,,,,39.830002
CY 2014,2014-05-19 00:00:00,,,,39.75
CY 2014,2014-05-20 00:00:00,,,,39.68
CY 2014,2014-05-21 00:00:00,,,,40.349998
CY 2014,2014-05-22 00:00:00,,,,40.099998
CY 2014,2014-05-23 00:00:00,,,,40.119999
CY 2014,2014-05-27 00:00:00,,,,40.189999
CY 2014,2014-05-28 00:00:00,,,,40.009998
CY 2014,2014-05-29 00:00:00,,,,40.34
CY 2014,2014-05-30 00:00:00,,,,40.939999
CY 2014,2014-06-02 00:00:00,,,,40.790001
